PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
REP4,11/03/2020 14:00,11/03/2020 14:52,Accidental,Normal,Con carga de REP6.,Hipódromo,0 days 00:52:00,3120
REP4,11/03/2020 15:07,11/03/2020 15:22,Accidental,Normal,No establecido.,Hipódromo,0 days 00:15:00,900
REP4,19/03/2020 18:11,19/03/2020 18:48,Accidental,Normal,Pájaro en contacto con línea MT y sostén. Curupayty y Encarnación.,Hipódromo,0 days 00:37:00,2220
REP5,13/03/2020 12:00,13/03/2020 12:02,Producción,Normal,"Abierto interruptor por alivio de carga del TR-02 66/23kV, a pedido de CORM.",Tte. Silvio Pettirossi,0 days 00:02:00,120
REP5,13/03/2020 12:00,13/03/2020 12:02,Producción,Normal,"Abierto interruptor por alivio de carga del TR-02 66/23kV, a pedido de CORM.",San Vicente,0 days 00:02:00,120
REP5,13/03/2020 12:00,13/03/2020 12:02,Producción,Normal,"Abierto interruptor por alivio de carga del TR-02 66/23kV, a pedido de CORM.",Pinoza,0 days 00:02:00,120
REP5,23/03/2020 04:44,23/03/2020 05:42,Accidental,Normal,Tramo subterráneo averiado. PD SM276 al PE SENEPA.,Tte. Silvio Pettirossi,0 days 00:58:00,3480
REP5,23/03/2020 04:44,23/03/2020 05:42,Accidental,Normal,Tramo subterráneo averiado. PD SM276 al PE SENEPA.,San Vicente,0 days 00:58:00,3480
REP5,23/03/2020 04:44,23/03/2020 05:42,Accidental,Normal,Tramo subterráneo averiado. PD SM276 al PE SENEPA.,Pinoza,0 days 00:58:00,3480
REP5,23/03/2020 07:54,23/03/2020 08:00,Accidental,Normal,Al efectuar maniobras.,Tte. Silvio Pettirossi,0 days 00:06:00,360
REP5,23/03/2020 07:54,23/03/2020 08:00,Accidental,Normal,Al efectuar maniobras.,San Vicente,0 days 00:06:00,360
REP5,23/03/2020 07:54,23/03/2020 08:00,Accidental,Normal,Al efectuar maniobras.,Pinoza,0 days 00:06:00,360
REP9,1/03/2020 17:15,01/03/2020 19:15,Accidental,Normal,No establecido.,Tte. Silvio Pettirossi,0 days 02:00:00,7200
SMI5,18/03/2020 19:13,18/03/2020 20:25,Accidental,Adverso,Condiciones climáticas adversas.,Las Mercedes,0 days 01:12:00,4320
SMI5,18/03/2020 19:13,18/03/2020 20:25,Accidental,Adverso,Condiciones climáticas adversas.,Ciudad Nueva,0 days 01:12:00,4320
SMI5,18/03/2020 20:27,18/03/2020 20:30,Accidental,Adverso,Al efectuar maniobras.,Las Mercedes,0 days 00:03:00,180
SMI5,18/03/2020 20:27,18/03/2020 20:30,Accidental,Adverso,Al efectuar maniobras.,Ciudad Nueva,0 days 00:03:00,180
SMI5,19/03/2020 10:30,19/03/2020 10:34,Programado,Normal,"Abierto interruptor para efectuar cambio de transformador averiado, seccionador fusible averiado y reparación de puente MT suelto. Predio de la Sede Central ANDE.",Las Mercedes,0 days 00:04:00,240
SMI5,19/03/2020 10:30,19/03/2020 10:34,Programado,Normal,"Abierto interruptor para efectuar cambio de transformador averiado, seccionador fusible averiado y reparación de puente MT suelto. Predio de la Sede Central ANDE.",Ciudad Nueva,0 days 00:04:00,240
SMI5,19/03/2020 11:23,19/03/2020 11:47,Programado,Normal,"Abierto interruptor para efectuar cierre del 51480, por avería anterior.",Las Mercedes,0 days 00:24:00,1440
SMI5,19/03/2020 11:23,19/03/2020 11:47,Programado,Normal,"Abierto interruptor para efectuar cierre del 51480, por avería anterior.",Ciudad Nueva,0 days 00:24:00,1440
VAU10,27/03/2020 16:35,27/03/2020 18:35,Accidental,Normal,No establecido.,Mcal. Estigarribia,0 days 02:00:00,7200
VAU10,27/03/2020 16:35,27/03/2020 18:35,Accidental,Normal,No establecido.,Recoleta,0 days 02:00:00,7200
VAU14,28/03/2020 11:40,28/03/2020 13:40,Accidental,Normal,No establecido.,Villa Aurelia,0 days 02:00:00,7200
VAU14,28/03/2020 11:40,28/03/2020 13:40,Accidental,Normal,No establecido.,Los Laureles,0 days 02:00:00,7200
VAU14,28/03/2020 11:40,28/03/2020 13:40,Accidental,Normal,No establecido.,Hipódromo,0 days 02:00:00,7200
VAU3,18/03/2020 08:56,18/03/2020 10:23,Accidental,Adverso,Aislador averiado y cruceta MT rota. Cap. Von Sastrow c/ Dr. San Martín.,Villa Aurelia,0 days 01:27:00,5220
VAU3,18/03/2020 08:56,18/03/2020 10:23,Accidental,Adverso,Aislador averiado y cruceta MT rota. Cap. Von Sastrow c/ Dr. San Martín.,San Pablo,0 days 01:27:00,5220
VAU6,4/03/2020 16:16,4/03/2020 16:18,Accidental,Normal,"Abierto Interruptor, para efectuar reparación de Puente MT Suelto F1 en el  SLT N° 54075.",Mcal. Estigarribia,0 days 00:02:00,120
VAU6,13/03/2020 14:08,13/03/2020 14:24,Programado,Normal,"Abierto interruptor para efectuar maniobras, alivio de carga del VAU 6.",Mcal. Estigarribia,0 days 00:16:00,960
